date,open,high,low,close,volume,daily_change,daily_return,percent_change,volatility,volatility_pct,news_count,avg_sentiment
2025-12-08,309.62,315.3454,307.95,309.18,3615794.0,-0.4399999999999977,,-0.1421096828370253,7.395399999999995,2.388540791938504,16.0,-0.0062500000931322575
2025-12-05,308.59,311.83,307.18,307.94,2344667.0,-0.6499999999999773,-0.40106087069021745,-0.2106354710133113,4.649999999999977,1.5068537541721954,6.0,-0.050000001986821495
2025-12-04,302.875,309.61,302.54,307.99,2962463.0,5.115000000000009,0.01623692927192888,1.6888155179529538,7.069999999999993,2.334296326867517,10.0,0.060000001639127734
2025-12-03,302.88,303.97,298.905,302.62,3953390.0,-0.2599999999999909,-1.7435631026981424,-0.08584257791864465,5.065000000000055,1.6722794506075194,5.0,-0.08000000417232514
2025-12-02,307.0,310.4675,301.57,301.78,4261100.0,-5.220000000000027,-0.27757583768422966,-1.7003257328990318,8.89749999999998,2.8982084690553678,4.0,0.05000000074505806
2025-12-01,306.505,307.12,302.8,305.67,3166555.0,-0.8349999999999795,1.2890184902909496,-0.27242622469453337,4.319999999999993,1.4094386714735463,4.0,0.05000000074505806
2025-11-28,304.06,309.18,303.6,308.58,1689031.0,4.519999999999982,0.9520070664442049,1.4865487074919363,5.579999999999984,1.8351641123462423,9.0,-0.022222223381201427
2025-11-26,305.18,306.6,301.64,303.21,2196446.0,-1.9700000000000273,-1.7402294380711614,-0.6455206763221795,4.960000000000036,1.6252703322629385,3.0,0.033333333830038704
2025-11-25,304.125,306.0,297.06,304.48,2825322.0,0.3550000000000182,0.4188516209887583,0.11672831894780705,8.939999999999998,2.939580764488285,11.0,0.054545455358245155
2025-11-24,299.18,307.18,297.51,304.12,6050640.0,4.939999999999998,-0.11823436678928267,1.65117989170399,9.670000000000016,3.232167925663485,13.0,0.030769231227728035
2025-11-21,293.48,300.48,291.89,297.44,5710903.0,3.9599999999999795,-2.1965013810337997,1.3493253373313272,8.590000000000032,2.9269456181000515,15.0,0.0
2025-11-20,294.64,300.71,290.16,290.4,5597028.0,-4.240000000000009,-2.366863905325456,-1.4390442573988627,10.549999999999955,3.580640781971204,8.0,0.037500000558793545
2025-11-19,290.5,291.1099,288.07,288.53,3595912.0,-1.9700000000000273,-0.6439393939393967,-0.6781411359724707,3.0398999999999887,1.046437177280547,12.0,0.08333333395421505
2025-11-18,297.0,297.0,289.92,289.95,4861928.0,-7.050000000000011,0.4921498630991561,-2.3737373737373777,7.079999999999984,2.3838383838383783,8.0,0.012500000186264515
2025-11-17,305.59,306.0,296.51,297.17,3909741.0,-8.419999999999959,2.4900844973271274,-2.7553257632775807,9.490000000000009,3.1054681108675055,8.0,0.07500000204890966
2025-11-14,300.0,307.72,297.59,305.69,3592455.0,5.689999999999998,2.8670457987010733,1.896666666666666,10.130000000000052,3.3766666666666842,7.0,0.028571428997176036
2025-11-13,312.29,314.6,303.68,304.86,5310150.0,-7.430000000000007,-0.2715168962020287,-2.3791988216081226,10.920000000000016,3.496749815876274,8.0,-0.024999999441206455
2025-11-12,319.89,324.9,314.5324,314.98,6042686.0,-4.909999999999968,3.3195565177458475,-1.5349026227765694,10.367599999999982,3.240989089999682,10.0,0.030000000447034835
2025-11-11,309.0,317.91,308.43,313.72,4381913.0,4.720000000000027,-0.40002539843799756,1.5275080906148957,9.480000000000018,3.0679611650485494,1.0,0.10000000149011612
2025-11-10,306.82,309.94,304.23,309.13,2975188.0,2.3100000000000023,-1.463088104041832,0.7528844273515424,5.7099999999999795,1.8610260087347563,16.0,0.018750000279396772
2025-11-07,309.68,310.0,302.6301,306.38,5070773.0,-3.3000000000000114,-0.8895933749555218,-1.0656161198656715,7.369899999999973,2.379843709635744,8.0,-0.03750000149011612
2025-11-06,306.75,315.44,301.09,312.42,6818521.0,5.670000000000016,1.9714080553560942,1.8484107579462155,14.350000000000023,4.6780766096169595,12.0,0.02500000037252903
2025-11-05,301.38,307.2,299.71,306.77,4633195.0,5.389999999999986,-1.8084629665194418,1.7884398433870816,7.490000000000009,2.485234587563876,17.0,-0.011764706495930166
2025-11-04,300.0,303.17,296.0,300.85,5677330.0,0.8500000000000227,-1.929784529126044,0.2833333333333409,7.170000000000016,2.3900000000000055,12.0,0.03333333569268385
2025-11-03,308.0,312.1411,304.23,304.73,4957958.0,-3.269999999999982,1.2896792421472458,-1.0616883116883058,7.911099999999976,2.5685389610389535,9.0,0.07777777645323011
2025-10-31,312.0,313.5,301.63,307.41,7697499.0,-4.589999999999975,0.8794670692088058,-1.4711538461538383,11.870000000000005,3.8044871794871806,6.0,0.033333333830038704
2025-10-30,306.65,313.75,305.02,310.06,4694275.0,3.410000000000025,0.8620409225464254,1.1120169574433476,8.730000000000018,2.8468938529267955,9.0,0.022222222553359136
2025-10-29,312.79,314.33,307.52,308.21,4135948.0,-4.580000000000041,-0.5966587112171906,-1.464241184181093,6.810000000000002,2.177179577352218,10.0,0.08000000193715096
2025-10-28,312.6,319.35,311.41,312.57,6044770.0,-0.03000000000002956,1.4146199020148575,-0.009596928982734983,7.939999999999998,2.5399872040946887,6.0,0.06666666890184085
2025-10-27,307.8,313.5,302.88,313.09,9868151.0,5.289999999999964,0.16636273474741614,1.7186484730344258,10.620000000000005,3.45029239766082,14.0,0.028571428997176036
2025-10-24,283.77,310.75,282.21,307.46,16914243.0,23.689999999999998,-1.7982049889808005,8.348310251259823,28.54000000000002,10.057440885223958,11.0,-0.027272727679122578
2025-10-23,264.95,285.5791,263.5623,285.0,16676394.0,20.05000000000001,-7.305015286541328,7.56746555953954,22.01679999999999,8.30979430081147,20.0,-0.06000000089406967
2025-10-22,281.99,289.17,281.35,287.51,10538480.0,5.519999999999982,0.8807017543859708,1.9575162239795674,7.819999999999993,2.7731479839710604,16.0,0.018749999813735485
2025-10-21,283.31,285.31,281.6,282.05,4080981.0,-1.259999999999991,-1.8990643803693752,-0.4447425082065549,3.7099999999999795,1.3095196074970807,6.0,-0.016666666915019352
2025-10-20,281.25,285.5,280.96,283.65,3494336.0,2.3999999999999773,0.5672753057968327,0.8533333333333252,4.5400000000000205,1.6142222222222293,8.0,0.02500000037252903
2025-10-17,276.15,283.4,275.35,281.28,5309565.0,5.1299999999999955,-0.8355367530407221,1.8576860401955446,8.049999999999955,2.915082382762975,7.0,-0.04285714456013271
2025-10-16,281.11,282.56,275.6,275.97,2956923.0,-5.139999999999986,-1.8877986348122655,-1.8284657251609642,6.9599999999999795,2.4758991142257405,9.0,0.03333333465788099
2025-10-15,278.38,285.45,277.0,280.75,3346753.0,2.3700000000000045,1.732072326702161,0.8513542639557456,8.449999999999989,3.0354192111502223,14.0,0.07142857249294009
2025-10-14,275.52,277.53,272.5469,276.15,3058149.0,0.6299999999999955,-1.638468388245773,0.22865853658536422,4.983099999999979,1.808616434378622,8.0,0.0
2025-10-13,279.79,282.4399,274.64,277.22,4333836.0,-2.569999999999993,0.38747057758465875,-0.9185460523964376,7.7999000000000365,2.7877693984774425,11.0,0.009090908549048683
2025-10-10,288.97,290.385,277.5,277.82,4508506.0,-11.150000000000034,0.21643460067815035,-3.8585320275461235,12.884999999999991,4.458940374433329,4.0,0.0
2025-10-09,289.82,290.13,283.32,288.23,4912375.0,-1.589999999999975,3.7470304513713915,-0.5486163825822838,6.810000000000002,2.349734317852461,13.0,0.0
2025-10-08,294.16,294.2,286.473,289.46,5297030.0,-4.7000000000000455,0.426742532005675,-1.5977699211313725,7.726999999999975,2.626801740549352,6.0,0.0833333358168602
2025-10-07,295.55,301.0425,293.285,293.87,7190126.0,-1.6800000000000068,1.5235265667104425,-0.568431737438676,7.757499999999993,2.6247673828455396,15.0,0.06000000089406967
2025-10-06,288.61,291.45,287.8,289.42,2881947.0,0.8100000000000023,-1.514275019566469,0.28065555594054337,3.6499999999999773,1.2646824434357706,7.0,0.014285714498588018
2025-10-03,287.5,293.32,287.3,288.37,4375082.0,0.8700000000000045,-0.3627945546264999,0.3026086956521755,6.019999999999982,2.093913043478255,9.0,0.022222222553359136
2025-10-02,285.79,288.54,282.79,286.72,3814232.0,0.9300000000000068,-0.5721815722856016,0.325413765352184,5.75,2.0119668287903703,7.0,-0.02857143006154469
2025-10-01,280.2,286.59,280.15,286.49,4381338.0,6.2900000000000205,-0.08021763392858094,2.2448251249107853,6.439999999999998,2.2983583154889358,11.0,0.04545454680919647
2025-09-30,280.88,286.025,280.52,282.16,5926924.0,1.2800000000000296,-1.5113965583440914,0.4557106237539268,5.5049999999999955,1.959911706066646,8.0,0.07500000018626451
2025-09-29,286.0,286.0,279.66,279.8,6022125.0,-6.199999999999989,-0.8364048766657306,-2.167832167832164,6.339999999999975,2.2167832167832078,7.0,0.014285714498588018
2025-09-26,280.51,288.85,280.11,284.31,9063938.0,3.8000000000000114,1.61186561829878,1.3546754126412648,8.740000000000009,3.1157534490749024,7.0,0.05714285799435207
2025-09-25,272.935,284.23,271.148,281.44,11506192.0,8.504999999999995,-1.0094615032886667,3.116126550277537,13.081999999999994,4.793082602084743,12.0,0.02500000037252903
2025-09-24,272.62,273.6499,267.3,267.53,3159924.0,-5.090000000000032,-4.942438885730538,-1.8670677133005766,6.349899999999991,2.329212823710656,7.0,-0.07142857142857142
2025-09-23,272.7,273.2962,269.265,272.24,5394121.0,-0.45999999999997954,1.7605502186670785,-0.1686835350201612,4.0312000000000126,1.478254492115883,6.0,0.0
2025-09-22,266.62,272.31,266.0,271.37,5030540.0,4.75,-0.31957096679400276,1.7815617733103293,6.310000000000002,2.366664166229091,11.0,0.0
2025-09-19,266.05,267.87,263.64,266.4,9858112.0,0.3499999999999659,-1.8314478387441602,0.13155421913172932,4.230000000000018,1.5899267055064905,6.0,0.06666666766007741
2025-09-18,258.86,265.23,256.8004,265.0,4988421.0,6.139999999999986,-0.5255255255255165,2.3719384995750543,8.429599999999994,3.2564320482113858,12.0,0.05000000074505806
2025-09-17,257.495,260.9644,257.01,259.08,3974785.0,1.5849999999999795,-2.233962264150946,0.6155459329307286,3.954400000000021,1.5357191401774872,8.0,0.02500000037252903
2025-09-16,256.26,258.0,254.41,257.52,2719918.0,1.259999999999991,-0.6021306160259421,0.4916881292437333,3.5900000000000034,1.4009209396706483,6.0,0.033333333830038704
2025-09-15,254.02,259.05,254.0,256.24,4028365.0,2.219999999999999,-0.49704877291083527,0.8739469333123371,5.050000000000011,1.9880324383906824,7.0,0.028571428997176036
2025-09-12,256.95,257.25,252.425,253.44,3433300.0,-3.509999999999991,-1.0927255697783411,-1.366024518388788,4.824999999999989,1.8777972368164968,9.0,0.04444444593456057
2025-09-11,257.56,258.545,255.655,257.01,3576048.0,-0.5500000000000114,1.408617424242431,-0.21354247553968447,2.890000000000015,1.1220686441994154,7.0,0.028571428997176036
2025-09-10,259.65,260.08,254.56,256.88,5185420.0,-2.769999999999982,-0.050581689428430554,-1.0668207202002626,5.519999999999982,2.125938763720386,8.0,0.02500000037252903
2025-09-09,256.12,260.66,254.88,259.11,4931105.0,2.990000000000009,0.8681096231703656,1.1674215211619587,5.78000000000003,2.2567546462595773,8.0,-0.1000000024214387
2025-09-08,248.63,257.15,247.02,256.09,6940270.0,7.4599999999999795,-1.1655281540658535,3.000442424486176,10.129999999999967,4.074327313678947,5.0,0.06000000089406967
2025-09-05,248.23,249.03,245.45,248.53,3147478.0,0.30000000000001137,-2.952087156858907,0.12085565805906272,3.5800000000000125,1.4422108528380988,6.0,0.06666666890184085
2025-09-04,245.42,249.28,242.85,247.18,4765087.0,1.7600000000000193,-0.5431939806059605,0.7171379675658135,6.430000000000007,2.6199983701409857,4.0,0.0
2025-09-03,240.02,244.25,239.41,244.1,3156289.0,4.079999999999984,-1.2460555061089118,1.6998583451378984,4.840000000000003,2.016498625114575,3.0,0.033333333830038704
2025-09-02,240.9,241.55,238.25,241.5,3469501.0,0.5999999999999943,-1.0651372388365443,0.2490660024906577,3.3000000000000114,1.3698630136986347,5.0,0.020000000298023225
2025-08-29,245.23,245.4599,241.72,243.49,2967558.0,-1.7399999999999807,0.824016563147012,-0.7095379847490033,3.7399000000000058,1.5250581087142707,0.0,0.0
2025-08-28,245.43,245.88,243.36,245.73,2820817.0,0.29999999999998295,0.9199556449956736,0.12223444566678195,2.519999999999982,1.0267693436010192,0.0,0.0
2025-08-27,242.87,245.96,242.0,244.84,3698372.0,1.9699999999999989,-0.3621861392585357,0.8111335282249759,3.960000000000008,1.6305019146045243,0.0,0.0
2025-08-26,241.02,244.98,240.38,242.63,5386582.0,1.6099999999999852,-0.9026302891684379,0.6679943573147394,4.599999999999994,1.9085553066135568,0.0,0.0
2025-08-25,242.565,242.565,239.43,239.43,3513327.0,-3.134999999999991,-1.318880600090666,-1.2924370787211636,3.134999999999991,1.2924370787211636,0.0,0.0
2025-08-22,240.74,243.68,240.22,242.09,3134882.0,1.3499999999999943,1.1109718915758293,0.5607709562183244,3.460000000000008,1.4372351914929,0.0,0.0
2025-08-21,242.21,242.5,238.65,239.4,2991902.0,-2.8100000000000023,-1.1111570077243949,-1.1601502828124364,3.8499999999999943,1.5895297469138328,0.0,0.0
2025-08-20,242.11,242.88,240.34,242.55,3240064.0,0.4399999999999977,1.3157894736842035,0.18173557473875418,2.539999999999992,1.0491099087191738,0.0,0.0
2025-08-19,240.0,242.83,239.49,241.28,3328305.0,1.2800000000000011,-0.5236033807462404,0.5333333333333339,3.3400000000000034,1.3916666666666682,0.0,0.0
2025-08-18,239.57,241.42,239.1158,239.45,3569594.0,-0.12000000000000455,-0.7584549071618096,-0.05008974412489233,2.3041999999999803,0.9618065701047628,0.0,0.0
2025-08-15,237.61,240.62,236.77,239.72,4344322.0,2.109999999999985,0.11275840467739329,0.8880097638988196,3.8499999999999943,1.6203021758343479,0.0,0.0
2025-08-14,238.25,239.0,235.62,237.11,4556725.0,-1.1399999999999864,-1.0887702319372528,-0.4784889821615892,3.3799999999999955,1.4186778593913936,0.0,0.0
2025-08-13,236.2,240.8411,236.2,240.07,5663562.0,3.8700000000000045,1.2483657374214419,1.638441998306522,4.641100000000023,1.9649026248941672,0.0,0.0
2025-08-12,236.53,237.96,233.36,234.77,8800597.0,-1.759999999999991,-2.2076894239180134,-0.744091658563392,4.599999999999994,1.944785016699782,0.0,0.0
2025-08-11,242.24,243.15,234.7,236.3,9381960.0,-5.939999999999998,0.6517016654598029,-2.452113606340818,8.450000000000017,3.4882760898282767,0.0,0.0
2025-08-08,248.88,249.48,241.65,242.27,6828390.0,-6.609999999999985,2.5264494286923345,-2.655898424943742,7.829999999999984,3.1460945033751146,0.0,0.0
2025-08-07,252.81,255.0,248.875,250.16,6251285.0,-2.6500000000000057,3.256697073513015,-1.048218029350107,6.125,2.422768086705431,0.0,0.0
2025-08-06,251.53,254.32,249.28,252.28,3692105.0,0.75,0.8474576271186418,0.2981751679720113,5.039999999999992,2.003737128771913,0.0,0.0
2025-08-05,252.0,252.8,248.995,250.67,5823016.0,-1.3300000000000125,-0.638179800221983,-0.5277777777777828,3.805000000000007,1.5099206349206375,0.0,0.0
2025-08-04,251.05,252.08,248.11,251.98,5280588.0,0.9299999999999784,0.5225994335181783,0.37044413463452636,3.969999999999999,1.5813582951603262,0.0,0.0
2025-08-01,251.405,251.4791,245.61,250.05,9683404.0,-1.3549999999999898,-0.7659338042701691,-0.5389709830751137,5.869099999999975,2.3345199976134023,0.0,0.0
2025-07-31,259.57,259.99,252.22,253.15,6739092.0,-6.4199999999999875,1.2397520495900816,-2.4733212620872935,7.77000000000001,2.9934121816850987,0.0,0.0
2025-07-30,261.6,262.0,258.9,260.26,3718290.0,-1.3400000000000318,2.808611495160962,-0.5122324159021527,3.1000000000000227,1.1850152905198863,0.0,0.0
2025-07-29,264.3,265.7999,261.02,262.41,4627265.0,-1.8899999999999864,0.8260969799431361,-0.7150964812712775,4.779899999999998,1.8085130533484668,0.0,0.0
2025-07-28,260.3,264.0,259.61,263.21,5192516.0,2.909999999999968,0.3048664303951565,1.1179408374951856,4.389999999999986,1.6865155589704135,0.0,0.0
2025-07-25,260.02,260.8,256.35,259.72,7758653.0,-0.2999999999999545,-1.325937464382032,-0.11537574032764962,4.449999999999989,1.711406814860391,0.0,0.0
2025-07-24,261.25,262.0486,252.75,260.51,22647720.0,-0.7400000000000091,0.30417372555058275,-0.28325358851674987,9.298600000000022,3.559272727272736,0.0,0.0
2025-07-23,284.3,288.08,281.44,282.01,8105906.0,-2.2900000000000205,8.253042109707875,-0.8054871614491806,6.639999999999986,2.3355610270840614,0.0,0.0
2025-07-22,284.74,284.88,281.25,281.96,4824219.0,-2.7800000000000296,-0.01772986773519447,-0.9763292828545443,3.6299999999999955,1.2748472290510624,0.0,0.0
2025-07-21,286.29,287.73,284.38,284.71,3051791.0,-1.580000000000041,0.9753156476095981,-0.5518879457892489,3.3500000000000227,1.1701421635404738,0.0,0.0
2025-07-18,283.38,287.16,282.22,285.87,4478165.0,2.490000000000009,0.40743212391556316,0.8786788058437467,4.939999999999998,1.7432422895052573,0.0,0.0
